Language	Frequency
English	45
Irish	10
Spanish	8
French	7
German	7
Celtic	5
Greek	5
Latin	5
{Mock AAL}	5
Danish	4
Russian	4
Slavic	4
Gaelic	3
Swedish	3
Afrikaans	2
Arabic	2
Bulgarian	2
Estonian	2
Icelandic	2
Norwegian	2
Prussian	2
Romanian	2
Chinese	1
Czech	1
Dutch	1
Finnic	1
Germanic	1
Gothic	1
Italian	1
Japanese	1
Khanty	1
Kurdish	1
Latvian	1
Mandarin	1
{Old Church Slavonic}	1
{Old Norse}	1
Oscan	1
Persian	1
Polish	1
Romance	1
Sanskrit	1
Finnish	1
Tocharian	1
Welsh	1
Zulu	1
